lexer,label.en,label.fr,label.eo,description.en,description.fr,description.eo,wikidata_qid
ada,Ada,Ada,Ada,programming language,langage de programmation,programlingvo,
apacheconf,ApacheConf,ApacheConf,ApacheConf,programming language,langage de programmation,programlingvo,
awk,Awk,Awk,Awk,programming language,langage de programmation,programlingvo,
bash,Bash,Bash,Bash,programming language,langage de programmation,programlingvo,
batch,Batchfile,Batchfile,Batchfile,programming language,langage de programmation,programlingvo,
bibtex,BibTeX,BibTeX,BibTeX,programming language,langage de programmation,programlingvo,
c,C,C,C,programming language,langage de programmation,programlingvo,
clojure,Clojure,Clojure,Clojure,programming language,langage de programmation,programlingvo,
cmake,CMake,CMake,CMake,programming language,langage de programmation,programlingvo,
coffeescript,CoffeeScript,CoffeeScript,CoffeeScript,programming language,langage de programmation,programlingvo,
common-lisp,Common Lisp,Common Lisp,Common Lisp,programming language,langage de programmation,programlingvo,
cpp,C++,C++,C++,programming language,langage de programmation,programlingvo,
csharp,C#,C#,C#,programming language,langage de programmation,programlingvo,
css,CSS,CSS,CSS,programming language,langage de programmation,programlingvo,
cuda,CUDA,CUDA,CUDA,programming language,langage de programmation,programlingvo,
cython,Cython,Cython,Cython,programming language,langage de programmation,programlingvo,
dart,Dart,Dart,Dart,programming language,langage de programmation,programlingvo,
delphi,Delphi,Delphi,Delphi,programming language,langage de programmation,programlingvo,
diff,Diff,Diff,Diff,programming language,langage de programmation,programlingvo,
docker,Docker,Docker,Docker,programming language,langage de programmation,programlingvo,
elixir,Elixir,Elixir,Elixir,programming language,langage de programmation,programlingvo,
elm,Elm,Elm,Elm,programming language,langage de programmation,programlingvo,
erlang,Erlang,Erlang,Erlang,programming language,langage de programmation,programlingvo,
fish,Fish,Fish,Fish,programming language,langage de programmation,programlingvo,
fortran,Fortran,Fortran,Fortran,programming language,langage de programmation,programlingvo,
fsharp,F#,F#,F#,programming language,langage de programmation,programlingvo,
go,Go,Go,Go,programming language,langage de programmation,programlingvo,
graphql,GraphQL,GraphQL,GraphQL,programming language,langage de programmation,programlingvo,
groovy,Groovy,Groovy,Groovy,programming language,langage de programmation,programlingvo,
haskell,Haskell,Haskell,Haskell,programming language,langage de programmation,programlingvo,
html,HTML,HTML,HTML,programming language,langage de programmation,programlingvo,
ini,INI,INI,INI,programming language,langage de programmation,programlingvo,
java,Java,Java,Java,programming language,langage de programmation,programlingvo,
javascript,JavaScript,JavaScript,JavaScript,programming language,langage de programmation,programlingvo,
json,JSON,JSON,JSON,programming language,langage de programmation,programlingvo,
julia,Julia,Julia,Julia,programming language,langage de programmation,programlingvo,
kotlin,Kotlin,Kotlin,Kotlin,programming language,langage de programmation,programlingvo,
less,LessCss,LessCss,LessCss,programming language,langage de programmation,programlingvo,
lua,Lua,Lua,Lua,programming language,langage de programmation,programlingvo,
make,Makefile,Makefile,Makefile,programming language,langage de programmation,programlingvo,
markdown,Markdown,Markdown,Markdown,programming language,langage de programmation,programlingvo,
matlab,Matlab,Matlab,Matlab,programming language,langage de programmation,programlingvo,
nginx,Nginx configuration file,Nginx configuration file,Nginx configuration file,programming language,langage de programmation,programlingvo,
nimrod,Nimrod,Nimrod,Nimrod,programming language,langage de programmation,programlingvo,
objective-c,Objective-C,Objective-C,Objective-C,programming language,langage de programmation,programlingvo,
ocaml,OCaml,OCaml,OCaml,programming language,langage de programmation,programlingvo,
octave,Octave,Octave,Octave,programming language,langage de programmation,programlingvo,
perl,Perl,Perl,Perl,programming language,langage de programmation,programlingvo,
php,PHP,PHP,PHP,programming language,langage de programmation,programlingvo,
powershell,PowerShell,PowerShell,PowerShell,programming language,langage de programmation,programlingvo,
prolog,Prolog,Prolog,Prolog,programming language,langage de programmation,programlingvo,
protobuf,Protocol Buffer,Protocol Buffer,Protocol Buffer,programming language,langage de programmation,programlingvo,
python,Python,Python,Python,programming language,langage de programmation,programlingvo,
racket,Racket,Racket,Racket,programming language,langage de programmation,programlingvo,
restructuredtext,reStructuredText,reStructuredText,reStructuredText,programming language,langage de programmation,programlingvo,
ruby,Ruby,Ruby,Ruby,programming language,langage de programmation,programlingvo,
rust,Rust,Rust,Rust,programming language,langage de programmation,programlingvo,
scala,Scala,Scala,Scala,programming language,langage de programmation,programlingvo,
scheme,Scheme,Scheme,Scheme,programming language,langage de programmation,programlingvo,
scss,SCSS,SCSS,SCSS,programming language,langage de programmation,programlingvo,
sed,Sed,Sed,Sed,programming language,langage de programmation,programlingvo,
solidity,Solidity,Solidity,Solidity,programming language,langage de programmation,programlingvo,
sparql,SPARQL,SPARQL,SPARQL,programming language,langage de programmation,programlingvo,
splus,S,S,S,programming language,langage de programmation,programlingvo,
sql,SQL,SQL,SQL,programming language,langage de programmation,programlingvo,
swift,Swift,Swift,Swift,programming language,langage de programmation,programlingvo,
systemd,Systemd,Systemd,Systemd,programming language,langage de programmation,programlingvo,
tcl,Tcl,Tcl,Tcl,programming language,langage de programmation,programlingvo,
tex,TeX,TeX,TeX,programming language,langage de programmation,programlingvo,
text,Text only,Text only,Text only,programming language,langage de programmation,programlingvo,
toml,TOML,TOML,TOML,programming language,langage de programmation,programlingvo,
turtle,Turtle,Turtle,Turtle,programming language,langage de programmation,programlingvo,
typescript,TypeScript,TypeScript,TypeScript,programming language,langage de programmation,programlingvo,
vb.net,VB.net,VB.net,VB.net,programming language,langage de programmation,programlingvo,
verilog,verilog,verilog,verilog,programming language,langage de programmation,programlingvo,
vhdl,vhdl,vhdl,vhdl,programming language,langage de programmation,programlingvo,
vim,VimL,VimL,VimL,programming language,langage de programmation,programlingvo,
xml,XML,XML,XML,programming language,langage de programmation,programlingvo,
yaml,YAML,YAML,YAML,programming language,langage de programmation,programlingvo,
zig,Zig,Zig,Zig,programming language,langage de programmation,programlingvo,
