class.en,label.en,label.fr,label.eo,description.en,description.fr,description.eo,foss
operating system,Linux,Linux,Linux,a family of open-source Unix-like operating systems based on the Linux kernel,une famille de systèmes d'exploitation open source de type Unix basés sur le noyau Linux,familio de liberaj Unikso-similaj operaciumoj bazitaj sur la Linuksa kerno,false
operating system,Unix,Unix,Unix,"a family of multitasking, multi-user computer operating systems",une famille de systèmes d'exploitation multitâches et multi-utilisateurs,"familio de plurprogramaj, pluruzantaj komputilaj operaciumoj",false
operating system,macOS,macOS,macOS,the operating system developed by Apple for its Mac computers,le système d'exploitation développé par Apple pour ses ordinateurs Mac,la operaciumo evoluigita de Apple por siaj Mac-komputiloj,false
operating system,Android,Android,Android,"the mobile operating system developed by Google, based on the Linux kernel","le système d'exploitation mobile développé par Google, basé sur le noyau Linux","la poŝtelefona operaciumo evoluigita de Google, bazita sur la Linuksa kerno",false
operating system,Windows,Windows,Windows,the operating system developed by Microsoft for personal computers,le système d'exploitation développé par Microsoft pour les ordinateurs personnels,la operaciumo evoluigita de Microsoft por personaj komputiloj,false
operating system,iOS,iOS,iOS,"the mobile operating system developed by Apple for its iPhone, iPod Touch and iPad devices","le système d'exploitation mobile développé par Apple pour ses appareils iPhone, iPod Touch et iPad","la poŝtelefona operaciumo evoluigita de Apple por siaj iPhone, iPod Touch kaj iPad-aparatoj",false
software license,GNU AGPL-3.0,GNU AGPL-3.0,GNU AGPL-3.0,"the GNU Affero General Public License version 3, a copyleft license for software as a service","la GNU Affero General Public License version 3, une licence copyleft pour les logiciels en tant que service","la GNU Affero General Public License versio 3, kopilefta permesilo por programaro kiel servo",true
software license,GNU GPL-3.0,GNU GPL-3.0,GNU GPL-3.0,"the GNU General Public License version 3, a strong copyleft license","la GNU General Public License version 3, une licence copyleft forte","la GNU General Public License versio 3, forta kopilefta permesilo",true
software license,GNU GPL-2.0,GNU GPL-2.0,GNU GPL-2.0,"the GNU General Public License version 2, a strong copyleft license","la GNU General Public License version 2, une licence copyleft forte","la GNU General Public License versio 2, forta kopilefta permesilo",true
software license,GNU LGPL-3.0,GNU LGPL-3.0,GNU LGPL-3.0,"the GNU Lesser General Public License version 3, a weak copyleft license for libraries","la GNU Lesser General Public License version 3, une licence copyleft faible pour les bibliothèques","la GNU Lesser General Public License versio 3, malforta kopilefta permesilo por bibliotekoj",true
software license,MIT License,MIT License,MIT License,the permissive MIT license,la licence MIT permissive,la permesema MIT-permesilo,true
software license,Apache License 2.0,Apache License 2.0,Apache License 2.0,the permissive Apache License version 2.0,la licence Apache version 2.0 permissive,la permesema Apache-permesilo versio 2.0,true
software license,BSD 3-Clause License,BSD 3-Clause License,BSD 3-Clause License,the permissive BSD license with 3 clauses,la licence BSD permissive à 3 clauses,la permesema BSD-permesilo kun 3 kondiĉoj,true
software license,Mozilla Public License 2.0,Mozilla Public License 2.0,Mozilla Public License 2.0,"the Mozilla Public License version 2.0, a weak copyleft file-level license","la Mozilla Public License version 2.0, une licence copyleft faible au niveau des fichiers","la Mozilla Public License versio 2.0, malforta kopilefta permesilo je dosiera nivelo",true
